date,mode,system,trips
2023-05-14,bus_rkl,bus,131677
2023-05-15,bus_rkl,bus,192758
2023-05-16,bus_rkl,bus,198282
2023-05-17,bus_rkl,bus,196528
2023-05-18,bus_rkl,bus,197657
2023-05-19,bus_rkl,bus,193650
2023-05-20,bus_rkl,bus,137660
2023-05-21,bus_rkl,bus,128187
2023-05-22,bus_rkl,bus,192848
2023-05-23,bus_rkl,bus,192716
2023-05-24,bus_rkl,bus,195625
2023-05-25,bus_rkl,bus,190973
2023-05-26,bus_rkl,bus,192074
2023-05-27,bus_rkl,bus,143327
2023-05-28,bus_rkl,bus,133262
2023-05-29,bus_rkl,bus,185086
2023-05-30,bus_rkl,bus,185984
2023-05-31,bus_rkl,bus,187801
2023-06-01,bus_rkl,bus,191417
2023-06-02,bus_rkl,bus,187215
2023-06-03,bus_rkl,bus,146319
2023-06-04,bus_rkl,bus,139375
2023-06-05,bus_rkl,bus,119743
2023-06-06,bus_rkl,bus,194997
2023-06-07,bus_rkl,bus,197269
2023-06-08,bus_rkl,bus,200283
2023-06-09,bus_rkl,bus,192899
2023-06-10,bus_rkl,bus,140908
2023-06-11,bus_rkl,bus,135585
2023-06-12,bus_rkl,bus,191321
2023-06-13,bus_rkl,bus,195416
2023-06-14,bus_rkl,bus,193067
2023-06-15,bus_rkl,bus,194765
2023-06-16,bus_rkl,bus,191655
2023-06-17,bus_rkl,bus,137680
2023-06-18,bus_rkl,bus,131905
2023-06-19,bus_rkl,bus,191821
2023-06-20,bus_rkl,bus,196564
2023-06-21,bus_rkl,bus,195847
2023-06-22,bus_rkl,bus,192741
2023-06-23,bus_rkl,bus,189606
2023-06-24,bus_rkl,bus,138923
2023-06-25,bus_rkl,bus,128570
2023-06-26,bus_rkl,bus,192376
2023-06-27,bus_rkl,bus,194015
2023-06-28,bus_rkl,bus,186034
2023-06-29,bus_rkl,bus,120029
2023-06-30,bus_rkl,bus,153478
2023-07-01,bus_rkl,bus,128305
2023-07-02,bus_rkl,bus,118145
2023-07-03,bus_rkl,bus,188088
2023-07-04,bus_rkl,bus,194934
2023-07-05,bus_rkl,bus,199127
2023-07-06,bus_rkl,bus,196853
2023-07-07,bus_rkl,bus,196656
2023-07-08,bus_rkl,bus,142638
2023-07-09,bus_rkl,bus,137140
2023-07-10,bus_rkl,bus,196578
2023-07-11,bus_rkl,bus,196700
2023-07-12,bus_rkl,bus,200799
2023-07-13,bus_rkl,bus,199948
2023-07-14,bus_rkl,bus,198668
2023-07-15,bus_rkl,bus,143105
2023-07-16,bus_rkl,bus,130419
2023-07-17,bus_rkl,bus,197741
2023-07-18,bus_rkl,bus,199624
2023-07-19,bus_rkl,bus,119472
2023-07-20,bus_rkl,bus,196479
2023-07-21,bus_rkl,bus,193719
2023-07-22,bus_rkl,bus,132163
2023-07-23,bus_rkl,bus,122972
2023-07-24,bus_rkl,bus,196330
2023-07-25,bus_rkl,bus,200568
2023-07-26,bus_rkl,bus,203792
2023-07-27,bus_rkl,bus,202092
2023-07-28,bus_rkl,bus,199518
2023-07-29,bus_rkl,bus,140177
2023-07-30,bus_rkl,bus,129437
2023-07-31,bus_rkl,bus,197387
2023-08-01,bus_rkl,bus,202133
2023-08-02,bus_rkl,bus,205241
2023-08-03,bus_rkl,bus,201989
2023-08-04,bus_rkl,bus,197636
2023-08-05,bus_rkl,bus,142951
2023-08-06,bus_rkl,bus,133681
2023-08-07,bus_rkl,bus,200860
2023-08-08,bus_rkl,bus,202226
2023-08-09,bus_rkl,bus,204057
2023-08-10,bus_rkl,bus,204360
2023-08-11,bus_rkl,bus,191068
2023-08-12,bus_rkl,bus,129668
2023-08-13,bus_rkl,bus,133979
2023-08-14,bus_rkl,bus,167291
2023-08-15,bus_rkl,bus,206492
2023-08-16,bus_rkl,bus,205882
2023-08-17,bus_rkl,bus,202219
2023-08-18,bus_rkl,bus,198405
2023-08-19,bus_rkl,bus,140247
2023-08-20,bus_rkl,bus,132638
2023-08-21,bus_rkl,bus,198871
2023-08-22,bus_rkl,bus,202943
2023-08-23,bus_rkl,bus,208820
2023-08-24,bus_rkl,bus,201440
2023-08-25,bus_rkl,bus,202975
2023-08-26,bus_rkl,bus,145581
2023-08-27,bus_rkl,bus,132263
2023-08-28,bus_rkl,bus,187606
2023-08-29,bus_rkl,bus,189310
2023-08-30,bus_rkl,bus,200549
